,aspect_ratio
2.35:1,5798
1.85:1,2797
2.39:1,1595
1.78:1,816
1.66:1,101
1.33:1,72
2.00:1,53
1.37:1,39
2.40:1,23
2:1,22
2.66:1,22
2.20:1,16
1.90:1,14
2.55:1,8
2.4:1,7
1.50:1,5
2.76:1,5
2:39,5
1:1,4
1.55:1,4
cinemascope,3
2.11:1,2
1.89:1,2
2.25:1,2
3:1,2
2.10:1,2
2.41:1,1
1.95:1,1
1.77:1,1
1:66,1
2.37:1,1
1.61:1,1
circular,1
1.00:1,1
1.56:1,1
2.22:1,1
1.20:1,1
2.2:1,1
tondoscope,1
2.16:1,1
1:1.85,1
2.21:1,1
3.66:1,1
1.40:1,1
2.38:1,1
3.2:1,1
2.77:1,1
2.80:1,1
2.12:1,1
1.90.1,1
1:2.35,1
1.19:1,1
1.85.1,1
