,languages
"English,",4961
"Spanish,",1329
"Japanese,",952
"French,",907
"Turkish,",829
"Italian,",571
"Korean,",564
"Mandarin,",524
"Russian,",524
"Hindi,",466
"German,",362
"Portuguese,",362
"Tamil,",272
"English,Spanish,",265
"Dutch,",243
"Thai,",242
"Chinese,",205
"Malayalam,",196
"Punjabi,",179
"Polish,",177
"Arabic,",175
"Czech,",173
"French,English,",147
"Telugu,",145
"Cantonese,",136
"English,French,",131
"Norwegian,",115
"Finnish,",105
"Filipino,Tagalog,",101
"Spanish,English,",94
"Danish,",94
"Swedish,",93
"Vietnamese,",71
"Romanian,",71
"Hindi,English,",66
"Cantonese,Mandarin,",60
"Mandarin,Cantonese,",55
"Hungarian,",55
"English,German,",53
"Bulgarian,",52
"English,Russian,",52
"Mandarin,English,",52
"German,English,",52
"Russian,English,",50
"Icelandic,",49
"Japanese,English,",49
"Afrikaans,English,",48
"Lithuanian,",48
"Afrikaans,",48
"Greek,",48
"Serbian,",47
"English,Japanese,",45
"English,Mandarin,",39
"English,Italian,",35
"Korean,English,",35
"Tagalog,Filipino,",31
"French,Arabic,",30
"Slovenian,",28
"English,Arabic,",28
"Urdu,",28
"Filipino,Tagalog,English,",27
"Persian,",27
"Ukrainian,",25
"Catalan,",24
"French,Spanish,",23
"Slovak,",23
"Korean,Japanese,",22
"Croatian,",22
"English,Korean,",22
"Spanish,Catalan,",22
"Kannada,",22
"Italian,English,",21
"English,Ukrainian,",21
"English,Hindi,",20
"Norwegian,English,",20
"Hebrew,",19
"English,Hebrew,",19
"Basque,",18
"English,Chinese,",18
"Chinese,English,",18
"Tamil,Telugu,",18
"English,French,German,",18
"English,Portuguese,",18
"Polish,English,",17
"Catalan,Spanish,",17
"French,German,",16
"Mandarin,Min Nan,",16
"Russian,German,",16
"Dutch,English,",16
"Turkish,English,",15
"Spanish,French,",15
"None,",14
"English,Latin,",14
"Arabic,English,",14
"English,Afrikaans,",14
"German,French,",13
"French,Italian,",13
"Malay,",12
"German,Turkish,",12
"Czech,Slovak,",12
"Italian,French,",12
"Marathi,",12
"Portuguese,Spanish,",12
"Cantonese,English,",12
"Indonesian,",12
"English,French,Italian,",12
"English,Thai,",12
"Danish,English,",11
"Chinese,Mandarin,",11
"English,Dutch,",11
"Swedish,English,",11
"Korean,Mandarin,",11
"Portuguese,English,",11
"Spanish,Portuguese,",10
"Spanish,Guarani,",10
"Nepali,",10
"Finnish,Swedish,",10
"Cantonese,Mandarin,English,",10
"Arabic,French,",10
"Bengali,",10
"English,Turkish,",10
"Norwegian,Swedish,",10
"Hindi,Urdu,",9
"English,Swedish,",9
"French,English,Spanish,",9
"Bulgarian,English,",9
"Gujarati,",9
"Flemish,Dutch,",9
"English,American Sign Language,",9
"Turkish,Kurdish,",9
"English,Maori,",9
"Mandarin,Chinese,",9
"German,Russian,",9
"Spanish,German,",8
"English,German,French,",8
"Russian,Ukrainian,",8
"Thai,English,",8
"French,Italian,English,",8
"French,English,Italian,",8
"English,Norwegian,",8
"Ukrainian,Russian,",8
"German,French,English,",8
"Russian,French,",8
"Finnish,English,",8
"Hindi,Punjabi,",8
"Telugu,Tamil,",7
"Dutch,Flemish,",7
"Japanese,Korean,",7
"Tamil,Hindi,",7
"French,English,German,",7
"French,English,Arabic,",7
"Mandarin,Cantonese,English,",7
"English,Spanish,German,",7
"Polish,German,",7
"Slovak,Czech,",7
"Hungarian,English,",7
"English,Greek,",7
"English,Spanish,French,",7
"Spanish,English,French,",7
"English,French,Spanish,",7
"Georgian,",7
"Serbian,English,",6
"Swiss German,",6
"French,Arabic,English,",6
"English,Cantonese,",6
"English,Danish,",6
"Vietnamese,English,",6
"English,Irish Gaelic,",6
"Estonian,",6
"Arabic,Hebrew,",6
"English,French,Latin,",6
"Greek,English,",6
"Zulu,",6
